Scaffold	GeneID	BioType
NC_031965.2	ctsd	protein_coding
NC_031965.2	LOC102082062	protein_coding
NC_031965.2	LOC109202176	lncRNA
NC_031965.2	LOC100693279	protein_coding
NC_031965.2	sirt3	protein_coding
NC_031965.2	psmd13	protein_coding
NC_031965.2	LOC100694086	protein_coding
NC_031965.2	kiaa0895l	protein_coding
NC_031965.2	LOC112843579	lncRNA
NC_031965.2	znf319	protein_coding
NC_031965.2	LOC100690588	protein_coding
NC_031965.2	LOC109202177	protein_coding
NC_031965.2	LOC100694887	protein_coding
NC_031965.2	LOC100695157	protein_coding
NC_031965.2	LOC112846004	protein_coding
NC_031965.2	LOC112844225	protein_coding
NC_031965.2	LOC112846022	lncRNA
NC_031965.2	LOC109202179	protein_coding
NC_031965.2	LOC112845980	protein_coding
NC_031965.2	LOC112846047	lncRNA
NC_031965.2	LOC112846059	lncRNA
NC_031965.2	LOC109202180	protein_coding
NC_031965.2	LOC102083328	lncRNA
NC_031965.2	LOC112846151	lncRNA
NC_031965.2	LOC102080836	protein_coding
NC_031965.2	LOC100712311	protein_coding
NC_031965.2	znf408	protein_coding
NC_031965.2	LOC109202034	protein_coding
NC_031965.2	LOC112847367	protein_coding
NC_031965.2	LOC100711965	protein_coding
NC_031965.2	ppip5k1	protein_coding
NC_031965.2	LOC102080149	lncRNA
NC_031965.2	map1a	protein_coding
NC_031965.2	tp53bp1	protein_coding
NC_031965.2	tubgcp4	protein_coding
NC_031965.2	LOC100711153	protein_coding
NC_031965.2	LOC112846569	lncRNA
NC_031965.2	LOC100708027	protein_coding
NC_031965.2	LOC102079351	protein_coding
NC_031965.2	iqgap1	protein_coding
NC_031965.2	crtc3	protein_coding
NC_031965.2	adamtsl5	protein_coding
NC_031965.2	LOC109204114	lncRNA
NC_031965.2	LOC109204104	lncRNA
NC_031965.2	LOC106096678	lncRNA
NC_031965.2	serinc4	protein_coding
NC_031965.2	LOC109204165	protein_coding
NC_031965.2	LOC109204169	protein_coding
NC_031965.2	LOC112846773	lncRNA
NC_031965.2	hypk	protein_coding
NC_031965.2	mfap1	protein_coding
NC_031965.2	LOC112846781	lncRNA
NC_031965.2	hddc3	protein_coding
NC_031965.2	vps33b	protein_coding
NC_031965.2	prc1	protein_coding
NC_031965.2	ptpmt1	protein_coding
NC_031965.2	ndufs3	protein_coding
NC_031965.2	c1qtnf4	protein_coding
NC_031965.2	LOC112846720	protein_coding
NC_031965.2	LOC109204282	protein_coding
NC_031965.2	LOC100706166	protein_coding
NC_031965.2	LOC100709553	protein_coding
NC_031965.2	LOC100709286	protein_coding
NC_031965.2	LOC109202039	protein_coding
NC_031965.2	LOC100705898	protein_coding
NC_031965.2	LOC109204292	protein_coding
NC_031965.2	LOC100709014	protein_coding
NC_031965.2	LOC112846941	protein_coding
NC_031965.2	LOC112847403	lncRNA
NC_031965.2	LOC109204449	lncRNA
NC_031965.2	LOC102075536	lncRNA
NC_031965.2	LOC100690862	protein_coding
NC_031965.2	LOC109202014	protein_coding
NC_031965.2	LOC112847401	lncRNA
NC_031965.2	LOC109203590	protein_coding
NC_031965.2	LOC112847368	protein_coding
NC_031965.2	LOC109203645	lncRNA
NC_031965.2	LOC109203616	lncRNA
NC_031965.2	LOC109204789	lncRNA
NC_031965.2	LOC100691126	protein_coding
NC_031965.2	LOC100695681	protein_coding
NC_031965.2	LOC102076095	protein_coding
NC_031965.2	LOC100695948	protein_coding
NC_031965.2	LOC100696207	protein_coding
NC_031965.2	LOC102076295	misc_RNA
NC_031965.2	LOC109204740	lncRNA
NC_031965.2	LOC109202656	protein_coding
NC_031965.2	LOC100696472	protein_coding
NC_031965.2	LOC100696741	protein_coding
NC_031965.2	LOC100691394	protein_coding
NC_031965.2	LOC100697009	protein_coding
NC_031965.2	LOC100691664	protein_coding
NC_031965.2	shank2	protein_coding
NC_031965.2	LOC102077706	protein_coding
NC_031965.2	LOC106098772	protein_coding
NC_031965.2	LOC112847681	lncRNA
NC_031965.2	dis3l	protein_coding
NC_031965.2	tipin	protein_coding
NC_031965.2	LOC100693012	protein_coding
NC_031965.2	LOC100692739	protein_coding
NC_031965.2	LOC100692470	protein_coding
NC_031965.2	cars	protein_coding
NC_031965.2	pex16	protein_coding
NC_031965.2	arfgap2	protein_coding
NC_031965.2	LOC102078312	protein_coding
NC_031965.2	LOC112847682	lncRNA
NC_031965.2	ppfia1	protein_coding
NC_031965.2	LOC109194287	protein_coding
NC_031965.2	LOC106097953	protein_coding
NC_031965.2	LOC100712071	protein_coding
NC_031965.2	LOC102080419	protein_coding
NC_031965.2	tollip	protein_coding
NC_031965.2	mtch2	protein_coding
NC_031965.2	tlnrd1	protein_coding
NC_031965.2	LOC102078782	lncRNA
NC_031965.2	LOC109199455	lncRNA
NC_031965.2	LOC106097812	lncRNA
NC_031965.2	LOC109199457	protein_coding
NC_031965.2	LOC112847531	protein_coding
NC_031965.2	fadd	protein_coding
NC_031965.2	LOC100706692	protein_coding
NC_031965.2	LOC109199456	protein_coding
NC_031965.2	LOC102076931	protein_coding
NC_031965.2	LOC100706164	protein_coding
NC_031965.2	fgf19	protein_coding
NC_031965.2	ccnd1	protein_coding
NC_031965.2	LOC112847737	protein_coding
NC_031965.2	LOC112847314	lncRNA
NC_031965.2	LOC109195670	protein_coding
NC_031965.2	LOC112847745	lncRNA
NC_031965.2	vstm2b	protein_coding
NC_031965.2	vps35	protein_coding
NC_031965.2	lg1h16orf87	protein_coding
NC_031965.2	ano9	protein_coding
NC_031965.2	LOC112847372	protein_coding
NC_031965.2	tssc4	protein_coding
NC_031965.2	shcbp1	protein_coding
NC_031965.2	spg21	protein_coding
NC_031965.2	LOC102076695	lncRNA
NC_031965.2	lrrk1	protein_coding
NC_031965.2	LOC112847942	lncRNA
NC_031965.2	adamts17	protein_coding
NC_031965.2	LOC112848013	lncRNA
NC_031965.2	LOC112847995	protein_coding
NC_031965.2	mthfs	protein_coding
NC_031965.2	minar1	protein_coding
NC_031965.2	LOC100710960	protein_coding
NC_031965.2	lins1	protein_coding
NC_031965.2	asb7	protein_coding
NC_031965.2	LOC100699437	protein_coding
NC_031965.2	LOC102083084	protein_coding
NC_031965.2	LOC100699707	protein_coding
NC_031965.2	il16	protein_coding
NC_031965.2	stard5	protein_coding
NC_031965.2	tmc3	protein_coding
NC_031965.2	pole3	protein_coding
NC_031965.2	kmt5b	protein_coding
NC_031965.2	LOC100701053	protein_coding
NC_031965.2	LOC109195108	lncRNA
NC_031965.2	LOC112848120	lncRNA
NC_031965.2	herc1	protein_coding
NC_031965.2	LOC112847420	snRNA
NC_031965.2	LOC102082777	protein_coding
NC_031965.2	LOC100701596	protein_coding
NC_031965.2	LOC100698633	protein_coding
NC_031965.2	LOC100701872	protein_coding
NC_031965.2	LOC109204809	lncRNA
NC_031965.2	htatip2	protein_coding
NC_031965.2	LOC109204805	lncRNA
NC_031965.2	prmt3	protein_coding
NC_031965.2	LOC102080170	lncRNA
NC_031965.2	slc6a5	protein_coding
NC_031965.2	LOC109202691	protein_coding
NC_031965.2	nell1	protein_coding
NC_031965.2	LOC106098917	protein_coding
NC_031965.2	LOC100701218	lncRNA
NC_031965.2	LOC112847434	snoRNA
NC_031965.2	LOC112847432	snoRNA
NC_031965.2	lrp4	protein_coding
NC_031965.2	LOC109204947	protein_coding
NC_031965.2	LOC109202045	protein_coding
NC_031965.2	LOC109204980	protein_coding
NC_031965.2	LOC109202059	protein_coding
NC_031965.2	LOC102081039	protein_coding
NC_031965.2	LOC100706236	protein_coding
NC_031965.2	LOC106098913	protein_coding
NC_031965.2	LOC112847375	protein_coding
NC_031965.2	LOC106097126	pseudogene
NC_031965.2	LOC102080225	protein_coding
NC_031965.2	ero1a	protein_coding
NC_031965.2	samd4a	protein_coding
NC_031965.2	LOC112841798	lncRNA
NC_031965.2	LOC100701948	protein_coding
NC_031965.2	wdhd1	protein_coding
NC_031965.2	socs4	protein_coding
NC_031965.2	LOC109194612	pseudogene
NC_031965.2	LOC100702482	protein_coding
NC_031965.2	LOC100699600	protein_coding
NC_031965.2	LOC100702753	protein_coding
NC_031965.2	slc22a18	protein_coding
NC_031965.2	LOC106098920	lncRNA
NC_031965.2	LOC100699863	protein_coding
NC_031965.2	LOC100703294	protein_coding
NC_031965.2	LOC100703563	protein_coding
NC_031965.2	LOC100703837	protein_coding
NC_031965.2	LOC100700131	protein_coding
NC_031965.2	csrp3	protein_coding
NC_031965.2	e2f8	protein_coding
NC_031965.2	LOC102079376	lncRNA
NC_031965.2	LOC106098915	lncRNA
NC_031965.2	LOC100704374	protein_coding
NC_031965.2	LOC112842058	lncRNA
NC_031965.2	dbx1	protein_coding
NC_031965.2	LOC109203250	lncRNA
NC_031965.2	pdcd7	protein_coding
NC_031965.2	LOC109200491	protein_coding
NC_031965.2	ubap1l	protein_coding
NC_031965.2	kbtbd13	protein_coding
NC_031965.2	rasl12	protein_coding
NC_031965.2	LOC100708679	protein_coding
NC_031965.2	LOC100707594	protein_coding
NC_031965.2	LOC112842158	pseudogene
NC_031965.2	mtfmt	protein_coding
NC_031965.2	LOC112847408	pseudogene
NC_031965.2	pacsin3	protein_coding
NC_031965.2	LOC112847443	pseudogene
NC_031965.2	ankdd1a	protein_coding
NC_031965.2	plekho2	protein_coding
NC_031965.2	znf414	protein_coding
NC_031965.2	mesd	protein_coding
NC_031965.2	cemip	protein_coding
NC_031965.2	LOC109202189	protein_coding
NC_031965.2	abhd17c	protein_coding
NC_031965.2	LOC106098615	lncRNA
NC_031965.2	arnt2	protein_coding
NC_031965.2	LOC112842442	lncRNA
NC_031965.2	trnay-gua	tRNA
NC_031965.2	LOC112847456	pseudogene
NC_031965.2	LOC112842440	lncRNA
NC_031965.2	LOC112842401	protein_coding
NC_031965.2	ctxnd1	protein_coding
NC_031965.2	fah	protein_coding
NC_031965.2	lto1	protein_coding
NC_031965.2	LOC112847378	protein_coding
NC_031965.2	fgf3	protein_coding
NC_031965.2	fgf4	protein_coding
NC_031965.2	LOC102075929	protein_coding
NC_031965.2	LOC102076112	protein_coding
NC_031965.2	LOC100705731	protein_coding
NC_031965.2	myod2	protein_coding
NC_031965.2	LOC112842578	lncRNA
NC_031965.2	LOC102083303	lncRNA
NC_031965.2	LOC100705989	protein_coding
NC_031965.2	LOC109200146	lncRNA
NC_031965.2	celf1	protein_coding
NC_031965.2	LOC100699221	protein_coding
NC_031965.2	mapk8ip1	protein_coding
NC_031965.2	LOC102079306	protein_coding
NC_031965.2	LOC100712122	protein_coding
NC_031965.2	chst1	protein_coding
NC_031965.2	LOC109202754	lncRNA
NC_031965.2	LOC112847399	lncRNA
NC_031965.2	LOC106098639	protein_coding
NC_031965.2	slc35c1	protein_coding
NC_031965.2	LOC102080057	protein_coding
NC_031965.2	LOC100698156	protein_coding
NC_031965.2	LOC102078954	protein_coding
NC_031965.2	apip	protein_coding
NC_031965.2	LOC100704093	protein_coding
NC_031965.2	LOC100703825	protein_coding
NC_031965.2	LOC102078281	lncRNA
NC_031965.2	ttc17	protein_coding
NC_031965.2	traf6	protein_coding
NC_031965.2	trpm5	protein_coding
NC_031965.2	LOC100703282	protein_coding
NC_031965.2	LOC100697082	protein_coding
NC_031965.2	LOC109202772	lncRNA
NC_031965.2	LOC112842884	lncRNA
NC_031965.2	LOC100703008	protein_coding
NC_031965.2	luzp2	protein_coding
NC_031965.2	LOC112842909	lncRNA
NC_031965.2	LOC112847387	lncRNA
NC_031965.2	muc15	protein_coding
NC_031965.2	LOC109196849	lncRNA
NC_031965.2	LOC100695761	protein_coding
NC_031965.2	bbox1	protein_coding
NC_031965.2	madd	protein_coding
NC_031965.2	nr1h3	protein_coding
NC_031965.2	arl14ep	protein_coding
NC_031965.2	fshb	protein_coding
NC_031965.2	LOC100694964	protein_coding
NC_031965.2	LOC102076326	protein_coding
NC_031965.2	LOC112843159	lncRNA
NC_031965.2	LOC100701934	protein_coding
NC_031965.2	LOC100694705	protein_coding
NC_031965.2	cfap70	protein_coding
NC_031965.2	ddb1	protein_coding
NC_031965.2	tspan4	protein_coding
NC_031965.2	taldo1	protein_coding
NC_031965.2	LOC102083325	protein_coding
NC_031965.2	LOC100694434	protein_coding
NC_031965.2	LOC100700844	protein_coding
NC_031965.2	LOC100700576	protein_coding
NC_031965.2	LOC112843303	lncRNA
NC_031965.2	psma4	protein_coding
NC_031965.2	rbpms2	protein_coding
NC_031965.2	LOC102082597	protein_coding
NC_031965.2	LOC109198177	lncRNA
NC_031965.2	cpeb1	protein_coding
NC_031965.2	LOC100699764	protein_coding
NC_031965.2	csnk1g1	protein_coding
NC_031965.2	snx1	protein_coding
NC_031965.2	neo1	protein_coding
NC_031965.2	bbs4	protein_coding
NC_031965.2	LOC100692191	protein_coding
NC_031965.2	LOC100691922	protein_coding
NC_031965.2	senp8	protein_coding
NC_031965.2	gramd2a	protein_coding
NC_031965.2	LOC100691655	protein_coding
NC_031965.2	trip4	protein_coding
NC_031965.2	LOC100691116	protein_coding
NC_031965.2	LOC100690854	protein_coding
NC_031965.2	calml4	protein_coding
NC_031965.2	LOC100690579	protein_coding
NC_031965.2	LOC100690309	protein_coding
NC_031965.2	itga11	protein_coding
NC_031965.2	LOC106098640	lncRNA
NC_031965.2	coro2b	protein_coding
NC_031965.2	anp32a	protein_coding
NC_031965.2	LOC109200214	protein_coding
NC_031965.2	trnag-ccc	tRNA
NC_031965.2	glce	protein_coding
NC_031965.2	paqr5	protein_coding
NC_031965.2	kif23	protein_coding
NC_031965.2	LOC100690688	protein_coding
NC_031965.2	uaca	protein_coding
NC_031965.2	LOC100691845	protein_coding
NC_031965.2	LOC100696221	protein_coding
NC_031965.2	LOC100692112	protein_coding
NC_031965.2	LOC102081080	pseudogene
NC_031965.2	LOC100696486	protein_coding
NC_031965.2	map2k5	protein_coding
NC_031965.2	LOC106096667	lncRNA
NC_031965.2	LOC100692385	protein_coding
NC_031965.2	LOC109202217	protein_coding
NC_031965.2	LOC100697556	protein_coding
NC_031965.2	LOC109202799	protein_coding
NC_031965.2	LOC112847009	lncRNA
NC_031965.2	LOC100698095	protein_coding
NC_031965.2	tmem208	protein_coding
NC_031965.2	LOC100698362	protein_coding
NC_031965.2	LOC100693114	protein_coding
NC_031965.2	LOC100693385	protein_coding
NC_031965.2	LOC109201968	lncRNA
NC_031965.2	LOC109202258	protein_coding
NC_031965.2	LOC100698626	protein_coding
NC_031965.2	LOC100698897	protein_coding
NC_031965.2	LOC100699163	protein_coding
NC_031965.2	LOC102078581	protein_coding
NC_031965.2	LOC100693649	protein_coding
NC_031965.2	bloc1s6	protein_coding
NC_031965.2	slc30a4	protein_coding
NC_031965.2	lg1h15orf48	protein_coding
NC_031965.2	spata5l1	protein_coding
NC_031965.2	LOC100699966	protein_coding
NC_031965.2	dtwd1	protein_coding
NC_031965.2	fgf7	protein_coding
NC_031965.2	LOC100700777	lncRNA
NC_031965.2	cops2	protein_coding
NC_031965.2	secisbp2l	protein_coding
NC_031965.2	shc4	protein_coding
NC_031965.2	fbn1	protein_coding
NC_031965.2	dut	protein_coding
NC_031965.2	slc12a1	protein_coding
NC_031965.2	ctxn2	protein_coding
NC_031965.2	myef2	protein_coding
NC_031965.2	slc24a5	protein_coding
NC_031965.2	LOC109201243	protein_coding
NC_031965.2	LOC109201975	lncRNA
NC_031965.2	LOC106097709	protein_coding
NC_031965.2	LOC106097760	protein_coding
NC_031965.2	LOC109202223	protein_coding
NC_031965.2	LOC106097703	protein_coding
NC_031965.2	LOC102082492	protein_coding
NC_031965.2	LOC109201999	lncRNA
NC_031965.2	LOC112847359	protein_coding
NC_031965.2	LOC109197775	protein_coding
NC_031965.2	LOC100710893	protein_coding
NC_031965.2	LOC109201891	protein_coding
NC_031965.2	LOC109195544	protein_coding
NC_031965.2	LOC109201447	protein_coding
NC_031965.2	LOC112847360	lncRNA
NC_031965.2	sema6d	protein_coding
NC_031965.2	LOC112847364	lncRNA
NC_031965.2	LOC109201994	protein_coding
NC_031965.2	LOC109202240	protein_coding
NC_031965.2	LOC112847362	lncRNA
NC_031965.2	dmxl2	protein_coding
NC_031965.2	gldn	protein_coding
NC_031965.2	LOC100708217	protein_coding
NC_031965.2	tnfaip8l3	protein_coding
NC_031965.2	scg3	protein_coding
NC_031965.2	lysmd2	protein_coding
NC_031965.2	tmod3	protein_coding
NC_031965.2	leo1	protein_coding
NC_031965.2	mapk6	protein_coding
NC_031965.2	usp50	protein_coding
NC_031965.2	usp8	protein_coding
NC_031965.2	hdc	protein_coding
NC_031965.2	LOC106097780	protein_coding
NC_031965.2	LOC109201153	protein_coding
NC_031965.2	LOC109201949	protein_coding
NC_031965.2	LOC102079190	protein_coding
NC_031965.2	LOC112847363	lncRNA
NC_031965.2	LOC100710099	protein_coding
NC_031965.2	gatm	protein_coding
NC_031965.2	pde8a	protein_coding
NC_031965.2	LOC102083186	protein_coding
NC_031965.2	fsd2	protein_coding
NC_031965.2	whamm	protein_coding
NC_031965.2	homer2	protein_coding
NC_031965.2	ramac	protein_coding
NC_031965.2	btbd1	protein_coding
NC_031965.2	tm6sf1	protein_coding
NC_031965.2	zrsr2	protein_coding
NC_031965.2	LOC100710628	protein_coding
NC_031965.2	LOC102075753	protein_coding
NC_031965.2	LOC109201214	lncRNA
NC_031965.2	LOC109201247	protein_coding
NC_031965.2	LOC100690562	protein_coding
NC_031965.2	LOC100700735	protein_coding
NC_031965.2	LOC100700469	protein_coding
NC_031965.2	LOC106098268	lncRNA
NC_031965.2	LOC100700193	protein_coding
NC_031965.2	LOC100699925	protein_coding
NC_031965.2	LOC109201290	protein_coding
NC_031965.2	LOC100699658	protein_coding
NC_031965.2	ace2	protein_coding
NC_031965.2	LOC100699119	protein_coding
NC_031965.2	LOC100703531	protein_coding
NC_031965.2	pir	protein_coding
NC_031965.2	vegfd	protein_coding
NC_031965.2	LOC102079585	protein_coding
NC_031965.2	LOC100698579	protein_coding
NC_031965.2	LOC102079692	lncRNA
NC_031965.2	LOC100698318	protein_coding
NC_031965.2	LOC112846053	lncRNA
NC_031965.2	LOC102079786	protein_coding
NC_031965.2	LOC102080484	protein_coding
NC_031965.2	LOC100698051	protein_coding
NC_031965.2	LOC100702804	protein_coding
NC_031965.2	LOC100697787	protein_coding
NC_031965.2	tmem39a	protein_coding
NC_031965.2	prss23	protein_coding
NC_031965.2	ccdc81	protein_coding
NC_031965.2	LOC102075875	protein_coding
NC_031965.2	LOC102076609	protein_coding
NC_031965.2	LOC112846066	lncRNA
NC_031965.2	LOC102080666	protein_coding
NC_031965.2	LOC100696716	protein_coding
NC_031965.2	pcnp	protein_coding
NC_031965.2	stk16	protein_coding
NC_031965.2	LOC100696448	protein_coding
NC_031965.2	atic	protein_coding
NC_031965.2	LOC112846113	lncRNA
NC_031965.2	LOC100696180	protein_coding
NC_031965.2	psmd14	protein_coding
NC_031965.2	LOC100695921	protein_coding
NC_031965.2	itgb6	protein_coding
NC_031965.2	LOC102081859	lncRNA
NC_031965.2	pla2r1	protein_coding
NC_031965.2	LOC100700908	protein_coding
NC_031965.2	march7	protein_coding
NC_031965.2	baz2b	protein_coding
NC_031965.2	wdsub1	protein_coding
NC_031965.2	LOC100694597	protein_coding
NC_031965.2	LOC102083273	lncRNA
NC_031965.2	LOC112847426	snoRNA
NC_031965.2	gtf2f2	protein_coding
NC_031965.2	LOC112846150	lncRNA
NC_031965.2	gpalpp1	protein_coding
NC_031965.2	ercc3	protein_coding
NC_031965.2	LOC100700192	protein_coding
NC_031965.2	rbm26	protein_coding
NC_031965.2	LOC102076516	lncRNA
NC_031965.2	rnf219	protein_coding
NC_031965.2	pou4f1	protein_coding
NC_031965.2	LOC109201585	protein_coding
NC_031965.2	LOC100693785	protein_coding
NC_031965.2	LOC109201610	protein_coding
NC_031965.2	pcdh20	protein_coding
NC_031965.2	tdrd3	protein_coding
NC_031965.2	LOC100693248	protein_coding
NC_031965.2	LOC100698850	protein_coding
NC_031965.2	LOC112846191	lncRNA
NC_031965.2	LOC102077424	lncRNA
NC_031965.2	LOC109201680	lncRNA
